Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Svetlana Ishkova,F,21.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Diving,Diving Women's Springboard,
Svetlana Irekovna Ishmuratova,F,29.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
Svetlana Irekovna Ishmuratova,F,29.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 10 kilometres Pursuit,
Svetlana Irekovna Ishmuratova,F,29.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 15 kilometres,
Svetlana Irekovna Ishmuratova,F,29.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
Svetlana Irekovna Ishmuratova,F,33.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
Svetlana Irekovna Ishmuratova,F,33.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 10 kilometres Pursuit,
Svetlana Irekovna Ishmuratova,F,33.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,
Svetlana Irekovna Ishmuratova,F,33.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 15 kilometres,Gold
Svetlana Irekovna Ishmuratova,F,33.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
Tawa Bolanle Ishola,F,19.0,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,
Ihor Ishutko,M,23.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Men's Aerials,
Pedro Miguel Piriquito Isidro,M,27.0,Portugal,POR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 50 kilometres Walk,
Pedro Miguel Piriquito Isidro,M,31.0,Portugal,POR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,
Blanka Isielonis,F,27.0,Poland,POL,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Parallel Giant Slalom,
Yelena Gadzhiyevna Isinbayeva,F,18.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Pole Vault,
Yelena Gadzhiyevna Isinbayeva,F,22.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Pole Vault,Gold
Yelena Gadzhiyevna Isinbayeva,F,26.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Pole Vault,Gold
Yelena Gadzhiyevna Isinbayeva,F,30.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Pole Vault,Bronze
Gulzira Iskakova,F,19.0,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,
Rustam Iskandari,M,20.0,Tajikistan,TJK,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
Saida Iskandarova,F,20.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,
Saida Iskandarova,F,24.0,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,
Mandy Islacker,F,27.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
Hazrat Islam,M,22.0,Pakistan,PAK,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,
Mitchell Islam,M,24.0,Canada-3,CAN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,
Drita Islami,F,20.0,Macedonia,MKD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,
Ramil Islamov,M,27.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Lightweight, Freestyle",
Alejandro Daniel Islas Arroyo,M,20.0,Mexico,MEX,2012 Summer,2012,Summer,London,Diving,Diving Men's Springboard,
Idulio Islas Gmez,M,21.0,Mexico,MEX,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,
"Jennifer J. Fetter ""JJ"" Isler",F,36.0,United States,USA,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Women's Two Person Dinghy,Silver
Carlin Russell Isles,M,26.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,
Afa Ismail,F,18.0,Maldives,MDV,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,
Afa Ismail,F,22.0,Maldives,MDV,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,
Ahmed Ismail El Shamy,M,28.0,Egypt,EGY,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Heavyweight,Bronze
Ibrahim Ismail Muftah Faraj,M,28.0,Qatar,QAT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,
Ibrahim Ismail Muftah Faraj,M,28.0,Qatar,QAT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,
Ismail Ahmed Ismail,M,19.0,Sudan,SUD,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,
Ismail Ahmed Ismail,M,23.0,Sudan,SUD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,Silver
Ismail Ahmed Ismail,M,27.0,Sudan,SUD,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 800 metres,
Khamis Ismail Zayed,M,22.0,United Arab Emirates,UAE,2012 Summer,2012,Summer,London,Football,Football Men's Football,
Mohamed Fakhri Ismail,M,25.0,Brunei,BRU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,
Naseer Ismail,M,26.0,Maldives,MDV,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 800 metres,
Salama Abdel Raouf Zenhoum Ismail,F,17.0,Egypt,EGY,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Breaststroke,
Mohamed Ismail Ibrahim,M,19.0,Djibouti,DJI,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 3,000 metres Steeplechase",
Halimat Oyinoza Ismaila,F,20.0,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,
Halimat Oyinoza Ismaila,F,24.0,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,
Halimat Oyinoza Ismaila,F,24.0,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Ruslan Ismailov,M,14.0,Kyrgyzstan,KGZ,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Freestyle,
Ruslan Takhirovich Ismailov,M,21.0,Kyrgyzstan,KGZ,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Air Rifle, 10 metres",
Ruslan Takhirovich Ismailov,M,21.0,Kyrgyzstan,KGZ,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
Ruslan Takhirovich Ismailov,M,21.0,Kyrgyzstan,KGZ,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
Ruslan Takhirovich Ismailov,M,25.0,Kyrgyzstan,KGZ,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Air Rifle, 10 metres",
Ruslan Takhirovich Ismailov,M,25.0,Kyrgyzstan,KGZ,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
Elin Mehdi smaylov,M,18.0,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Extra-Lightweight,
Elin Mehdi smaylov,M,22.0,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Lightweight,
li Shamil smaylov,M,26.0,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Heavyweight,
li Shamil smaylov,M,30.0,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Heavyweight,
Daniar Ismailow,M,20.0,Turkmenistan,TKM,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Lightweight,
Daniar Ismailow,M,24.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Lightweight,Silver
John Robert Isner,M,27.0,United States,USA,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Singles,
John Robert Isner,M,27.0,United States-2,USA,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Doubles,
Junko Isoda,F,19.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Breaststroke,
Yoko Isoda,F,22.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
Takao Isokawa,M,28.0,Japan,JPN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",
Andreas Isoz,M,25.0,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Men's Aerials,
Hiromi Isozaki-Ikeda,F,28.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,
Hiromi Isozaki-Ikeda,F,32.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,
Mrt Israel,M,24.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Discus Throw,
Mrt Israel,M,28.0,Estonia,EST,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Discus Throw,
Hamadou Djibo Issaka,M,35.0,Niger,NIG,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Single Sculls,
Denis Olegovich Istomin,M,25.0,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Singles,
Denis Olegovich Istomin,M,29.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Singles,
Sergey Istomin,M,22.0,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Heavyweight,
Nicolae Istrate,M,23.0,Romania-1,ROU,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,
Nicolae Istrate,M,23.0,Romania,ROU,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,
Nicolae Istrate,M,27.0,Romania,ROU,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,
Nicolae Istrate,M,27.0,Romania,ROU,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,
Nicolae Istrate,M,31.0,Romania,ROU,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,
Damian Mark Istria,M,18.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,
Damian Mark Istria,M,18.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,
Damian Mark Istria,M,18.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,
Damian Mark Istria,M,18.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,
Damian Mark Istria,M,18.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar,
Damian Mark Istria,M,18.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Rings,
Damian Mark Istria,M,18.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Pommelled Horse,
Minami Itahashi,F,16.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Platform,
"Patience ""Pat"" Itanyi",F,27.0,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Long Jump,
Ayuko Ito,F,23.0,Japan,JPN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",
Ayuko Ito,F,23.0,Japan,JPN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",
Ayuko Ito,F,27.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,
Ayuko Ito,F,27.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",
Ayuko Ito,F,27.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",
Ayuko Ito,F,27.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",
Daiki Ito,M,20.0,Japan,JPN,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
Daiki Ito,M,20.0,Japan,JPN,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
Daiki Ito,M,20.0,Japan,JPN,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
Daiki Ito,M,24.0,Japan,JPN,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
Daiki Ito,M,24.0,Japan,JPN,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
Daiki Ito,M,24.0,Japan,JPN,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
Daiki Ito,M,28.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
Daiki Ito,M,28.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze
Hanae Ito,F,23.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Backstroke,
Hanae Ito,F,23.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Backstroke,
Hanae Ito,F,23.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
Hanae Ito,F,27.0,Japan,JPN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Freestyle,
Hanae Ito,F,27.0,Japan,JPN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
Hanae Ito,F,27.0,Japan,JPN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
Kazue Ito,F,22.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Silver
Kazue Ito,F,26.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Bronze
Koji Ito,M,30.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,
Koji Ito,M,30.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,
Koji Ito,M,30.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,
Mai Ito,F,32.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
Masaki Ito,M,23.0,Japan,JPN,2012 Summer,2012,Summer,London,Trampolining,Trampolining Men's Individual,
Masaki Ito,M,27.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Men's Individual,
Miki Ito,F,18.0,Japan,JPN,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Women's Moguls,
Miki Ito,F,22.0,Japan,JPN,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Women's Moguls,
Mima Ito,F,15.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,Bronze
Sachiko Ito,F,32.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Gold
Tatsuma Ito,M,24.0,Japan,JPN,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Singles,
Tomohiro Ito,M,21.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,
Yuki Ito,F,19.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Women's Normal Hill, Individual",
Toshihiko Itokawa,M,27.0,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Men's 5,000 metres",
Toshihiko Itokawa,M,27.0,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Men's 10,000 metres",
Yoichi Itokazu,M,25.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Featherweight,
Juliet Itoya Ebhomhenye,F,29.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Long Jump,
Mayo Itoyama,F,20.0,Japan,JPN,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,
Iker Iturbe Martnez de Lecea,M,28.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,
Sergio Andrs Iturriaga Delgado,M,34.0,Chile,CHI,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
Eneritz Iturriagaextebarria Mazaga,F,23.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Road Race, Individual",
Amalie Hammild Iuel,F,22.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,
Fa'afetai Iutana,M,23.0,Samoa,SAM,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",
"Yekaterina Vladimirovna Ivakina (Slyadneva-, Krasnikova-)",F,35.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Javelin Throw,
"Yekaterina Vladimirovna Ivakina (Slyadneva-, Krasnikova-)",F,39.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Javelin Throw,
Francesco Ivaldi,M,22.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Men's Two Person Dinghy,
Matteo Ivaldi,M,29.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Men's Two Person Dinghy,
Radu Ivan,M,31.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Heavyweight,
Irene Ivancan,F,29.0,Germany,GER,2012 Summer,2012,Summer,London,Table Tennis,Table Tennis Women's Team,
Andrea Ivanevi,F,21.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,
Gerg Ivncsik,M,22.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,
Gerg Ivncsik,M,30.0,Hungary,HUN,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,
Aleksandr Mikhaylovich Ivanik,M,32.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",
Ivo Ivani,M,24.0,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,
Goran imun Ivanievi,M,29.0,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Men's Singles,
Goran imun Ivanievi,M,29.0,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Men's Doubles,
Ivan Aleksandrovich Ivankov,M,25.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,
Ivan Aleksandrovich Ivankov,M,25.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,
Ivan Aleksandrovich Ivankov,M,25.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,
Ivan Aleksandrovich Ivankov,M,25.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,
Ivan Aleksandrovich Ivankov,M,25.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,
Ivan Aleksandrovich Ivankov,M,25.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar,
Ivan Aleksandrovich Ivankov,M,25.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Rings,
Ivan Aleksandrovich Ivankov,M,25.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Pommelled Horse,
Ivan Aleksandrovich Ivankov,M,29.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,
Ivan Aleksandrovich Ivankov,M,29.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,
Ivan Aleksandrovich Ivankov,M,29.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,
Ivan Aleksandrovich Ivankov,M,29.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Rings,
Ivan Aleksandrovich Ivankov,M,29.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,
Anastasiya Vladimirovna Ivankova,F,16.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Anastasiya Vladimirovna Ivankova,F,20.0,Belarus,BLR,2012 Summer,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Olha Yevhenivna Ivankova,F,35.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,
Luca Ivankovi,F,24.0,Croatia,CRO,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
Aleksandr Valeryevich Ivanov,M,22.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Javelin Throw,
Aleksandr Valeryevich Ivanov,M,26.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,
Aleksandr Konstantinovich Ivanov,M,23.0,Russia,RUS,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Aleksey Alekseyevich Ivanov,M,29.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,
Aleksey Alekseyevich Ivanov,M,29.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
Aleksey Alekseyevich Ivanov,M,29.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,
Aleksey Alekseyevich Ivanov,M,33.0,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
Aleksey Alekseyevich Ivanov,M,33.0,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
Artem Volodymyrovych Ivanov,M,20.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,
Dimitar Ivanov,M,25.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",
Evgeni Ivanov,M,34.0,Bulgaria,BUL,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,
Georgi Ivanov Ivanov,M,26.0,Bulgaria,BUL,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Freestyle",
Georgi Stoyanov Ivanov,M,23.0,Bulgaria,BUL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,
Georgi Stoyanov Ivanov,M,27.0,Bulgaria,BUL,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Shot Put,
Georgi Stoyanov Ivanov,M,31.0,Bulgaria,BUL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,
Ivan Ivanov,M,21.0,Bulgaria,BUL,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
Ivan Oleksiyovych Ivanov,M,27.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Men's Olympic Distance,
Ivan Ivanov Ivanov,M,29.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Bantamweight,
Ivan Ivanov,M,24.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,
Ivan Ivanov,M,21.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Freestyle,
Ivan Ivanov,M,21.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Swimming,"Swimming Men's 1,500 metres Freestyle",
Ivan Ivanov,M,21.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
Ivaylo Ivanov,M,22.0,Bulgaria,BUL,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,
Khristian Ivanov,M,23.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,
Khristian Ivanov,M,23.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,
Khristian Ivanov,M,23.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,
Khristian Ivanov,M,23.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,
Khristian Ivanov,M,23.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar,
Khristian Ivanov,M,23.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Rings,
Martin Ivanov Ivanov,M,24.0,Bulgaria,BUL,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Lightweight,
Mikhail Petrovich Ivanov,M,24.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,
