Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Weronika Deresz,F,30.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,
Aleksandr Aleksandrovich Derevyagin,M,29.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres Hurdles,
Serhiy V'iacheslavovych Derevyanchenko,M,22.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Middleweight,
Yelena Nikolayevna Dergachova,F,18.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,
Aleksey Viktorovich Dergunov,M,23.0,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",
Aleksey Viktorovich Dergunov,M,27.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",
Aleksey Viktorovich Dergunov,M,27.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",
Aleksey Viktorovich Dergunov,M,31.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",
Aleksey Viktorovich Dergunov,M,31.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",
Zoe Lianne Derham,F,27.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Hammer Throw,
Emily Ann deRiel,F,25.0,United States,USA,2000 Summer,2000,Summer,Sydney,Modern Pentathlon,Modern Pentathlon Women's Individual,Silver
Inna Vasilyevna Deriglazova,F,22.0,Russia,RUS,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Foil, Individual",
Inna Vasilyevna Deriglazova,F,22.0,Russia,RUS,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Foil, Team",Silver
Inna Vasilyevna Deriglazova,F,26.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",Gold
Senna Sandra Deriks,F,15.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,
Senna Sandra Deriks,F,15.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,
"Geert Jan Marie ""Geert-Jan"" Derikx",M,23.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Silver
"Geert Jan Marie ""Geert-Jan"" Derikx",M,27.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,
Rob Gerard Marie Derikx,M,21.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Silver
Rob Gerard Marie Derikx,M,25.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,
Dariya Derkach,F,23.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Triple Jump,
V'iacheslav Vasylovych Derkach,M,25.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 10 kilometres Sprint,
V'iacheslav Vasylovych Derkach,M,25.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,
V'iacheslav Vasylovych Derkach,M,25.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 20 kilometres,
V'iacheslav Vasylovych Derkach,M,25.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
